TICKER;PER;DATE;TIME;OPEN;HIGH;LOW;CLOSE;VOL
EURRUB;60;240820;50000;88.0900000;88.4390000;88.0900000;88.4190000;12
EURRUB;60;240820;60000;88.4210000;88.4210000;88.0512000;88.3490000;178
EURRUB;60;240820;70000;88.0640000;88.3220000;88.0550000;88.1790000;12
EURRUB;60;240820;80000;88.1430000;88.1650000;87.9744000;88.0442000;1120
EURRUB;60;240820;90000;88.0442000;88.1530000;87.9744000;88.1125000;2701
EURRUB;60;240820;100000;88.1110000;88.1400000;87.8174000;87.9229000;6420
EURRUB;60;240820;110000;87.9236000;88.0788000;87.6643000;87.8411000;30615
EURRUB;60;240820;120000;87.8411000;88.0360000;87.6180000;87.7823000;28723
EURRUB;60;240820;130000;87.8312000;87.8944000;87.6860000;87.8228000;22703
EURRUB;60;240820;140000;87.8228000;87.9372000;87.7088000;87.8578000;19575
EURRUB;60;240820;150000;87.8606000;88.0088000;87.7700000;88.0029000;19743
EURRUB;60;240820;160000;88.0031000;88.0279000;87.7540000;87.9123000;20603
EURRUB;60;240820;170000;87.9138000;88.1102000;87.8220000;88.0546000;29129
EURRUB;60;240820;180000;88.0553000;88.0972000;87.8900000;87.9744000;30358
EURRUB;60;240820;190000;87.9730000;87.9940000;87.7832000;87.9094000;20573
EURRUB;60;240820;200000;87.9094000;88.0556000;87.8220000;87.9927000;14884
EURRUB;60;240820;210000;87.9927000;88.0279000;87.8578000;87.9707000;10614
EURRUB;60;240820;220000;87.9707000;87.9910000;87.8156000;87.9396000;11035
EURRUB;60;240820;230000;87.9396000;88.0187000;87.7880000;87.9762000;9377
EURRUB;60;250820;0;87.9702000;87.9820000;87.7597000;87.8055000;4744
EURRUB;60;250820;10000;87.7960000;88.0600000;87.7700000;87.8696000;45
EURRUB;60;250820;20000;87.8733000;88.0230000;87.7130000;87.7520000;18
EURRUB;60;250820;30000;87.9610000;88.0320000;87.6980000;87.7170000;12
EURRUB;60;250820;40000;87.7570000;88.0360000;87.7570000;88.0360000;12
EURRUB;60;250820;50000;88.0490000;88.0920000;87.7580000;88.0920000;12
EURRUB;60;250820;60000;87.8810000;88.0880000;87.8470000;87.8710000;12
EURRUB;60;250820;70000;87.8780000;88.0670000;87.8580000;87.8960000;12
EURRUB;60;250820;80000;87.9060000;88.1600000;87.8226000;88.0360000;396
EURRUB;60;250820;90000;87.9050000;88.0220000;87.7622000;87.8682000;696
EURRUB;60;250820;100000;88.0700000;88.0930000;87.7400000;87.9190000;5933
EURRUB;60;250820;110000;87.9217000;88.0923000;87.7200000;88.0873000;29196
EURRUB;60;250820;120000;88.0538000;88.4659000;88.0538000;88.4129000;32055
EURRUB;60;250820;130000;88.4148000;88.5059000;88.2640000;88.4024000;24031
EURRUB;60;250820;140000;88.4063000;88.4915000;88.1960000;88.3781000;25115
EURRUB;60;250820;150000;88.3781000;88.4853000;88.2308000;88.3430000;22715
EURRUB;60;250820;160000;88.3430000;88.4515000;88.1960000;88.3750000;24066
EURRUB;60;250820;170000;88.3773000;88.7964000;88.2640000;88.6821000;33095
EURRUB;60;250820;180000;88.7182000;88.9255000;88.5700000;88.7830000;32841
